--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
437.08,26.56,49.28,1044.01,-403.18,1044.01,-403.18,-64.69,86.97
438.57,26.71,49.21,1045.34,-399.65,1045.34,-399.65,-64.19,86.14
440.06,26.86,49.13,1046.44,-395.79,1046.44,-395.79,-63.68,85.29
441.55,27.02,49.03,1047.35,-391.59,1047.35,-391.59,-63.15,84.43
443.04,27.17,48.91,1047.97,-387.12,1047.97,-387.12,-62.61,83.55
444.53,27.33,48.78,1048.31,-382.37,1048.31,-382.37,-62.05,82.66
446.03,27.49,48.63,1048.54,-377.30,1048.54,-377.30,-61.48,81.75
447.52,27.66,48.46,1048.53,-371.89,1048.53,-371.89,-60.90,80.84
449.01,27.82,48.28,1048.36,-366.29,1048.36,-366.29,-60.30,79.90
450.50,27.99,48.09,1047.94,-360.30,1047.94,-360.30,-59.70,78.95
451.98,28.16,47.88,1047.24,-354.15,1047.24,-354.15,-59.08,78.00
453.47,28.33,47.66,1046.46,-347.70,1046.46,-347.70,-58.45,77.03
454.96,28.51,47.43,1045.46,-340.98,1045.46,-340.98,-57.80,76.04
456.45,28.68,47.18,1044.26,-334.04,1044.26,-334.04,-57.14,75.03
457.94,28.86,46.92,1042.93,-326.83,1042.93,-326.83,-56.47,74.02
459.42,29.04,46.64,1041.39,-319.40,1041.39,-319.40,-55.78,72.99
460.91,29.22,46.35,1039.61,-311.79,1039.61,-311.79,-55.09,71.94
462.40,29.40,46.05,1037.68,-303.80,1037.68,-303.80,-54.37,70.88
463.89,29.59,45.74,1035.69,-295.75,1035.69,-295.75,-53.65,69.81
465.39,29.78,45.42,1033.42,-287.37,1033.42,-287.37,-52.90,68.71
466.88,29.96,45.09,1030.99,-278.94,1030.99,-278.94,-52.15,67.61
468.37,30.15,44.74,1028.41,-270.16,1028.41,-270.16,-51.39,66.49
469.87,30.34,44.38,1025.69,-261.16,1025.69,-261.16,-50.61,65.36
471.36,30.53,44.02,1022.87,-252.04,1022.87,-252.04,-49.81,64.21
472.85,30.72,43.64,1019.81,-242.78,1019.81,-242.78,-49.01,63.05
474.33,30.92,43.26,1016.74,-233.36,1016.74,-233.36,-48.19,61.88
475.83,31.11,42.86,1013.45,-223.65,1013.45,-223.65,-47.36,60.68
477.32,31.31,42.46,1009.97,-213.85,1009.97,-213.85,-46.51,59.48
478.82,31.50,42.05,1006.43,-203.96,1006.43,-203.96,-45.65,58.26
480.30,31.70,41.63,1002.80,-193.86,1002.80,-193.86,-44.78,57.03
